old	new
s__Halorussus sp008831545	s__Halorussus halophilus
g__CBA1134	g__Halosegnis
s__CBA1134 sp001950595	s__Halosegnis longus
s__CBA1134 sp003021175	s__Halosegnis sp003021175
s__CBA1134 sp003021785	s__Halosegnis sp003021785
s__CBA1134 sp003023185	s__Halosegnis sp003023185
s__CBA1134 sp009184545	s__Halosegnis rubeus
g__HARCEL1	g__Halococcoides
s__HARCEL1 sp003058365	s__Halococcoides cellulosivorans
s__Haloarcula sp005406125	s__Haloarcula mannanilytica
s__Halomarina oriensis_A	s__Halocatena pleomorpha
s__Halomicroarcula sp004681185	s__Halomicroarcula amylolytica
s__Halorhabdus sp004944975	s__Halorhabdus amylolytica
s__Halorhabdus sp013839425	s__Halorhabdus salina
s__Halorientalis persicus	s__Halorientalis persica
s__Halorientalis sp004118325	s__Halorientalis pallida
s__Halorientalis sp005049285	s__Halorientalis salina
s__Halosimplex sp003730195	s__Halosimplex salinum
s__Halosimplex sp004698125	s__Halosimplex halophilum
s__Halovenus sp009831575	s__Halovenus carboxidivorans
s__Natronomonas sp013391085	s__Natronomonas halophila
s__Natronomonas sp013391105	s__Natronomonas salina
g__QS-4-70-19	g__Haloglomus
s__QS-4-70-19 sp003020985	s__Haloglomus sp003020985
s__QS-4-70-19 sp007421925	s__Haloglomus irregulare
g__SW-10-68-16	g__SW-9-67-25
s__SW-10-68-16 sp003023485	s__SW-9-67-25 sp003023485
s__Halobacterium sp009831555	s__Halobacterium bonnevillei
s__Halegenticoccus sp004116405	s__Halegenticoccus tardaugens
s__Halobaculum sp009831625	s__Halobaculum saliterrae
s__Halobaculum sp013401515	s__Halobaculum halophilum
s__Halobaculum sp013402875	s__Halobaculum salinum
s__Halobellus sp003665925	s__Halobellus inordinatus
s__Halobellus sp014212355	s__Halobellus ruber
s__Haloferax sp001469865	s__Haloferax profundi
s__Haloferax sp001469875	s__Haloferax marisrubri
s__Haloferax sp009674585	s__Haloferax marinisediminis
s__Haloferax sp009674605	s__Haloferax litoreum
s__Haloferax sp009674625	s__Haloferax marinum
s__Halonotius sp003605575	s__Halonotius aquaticus
s__Haloplanus rallus	s__Haloplanus salinarum
s__Halorubrum sp002286985	s__Halorubrum salipaludis
s__Halorubrum tropicale	s__Halorubrum salinarum
g__N1521	g__Natronocalculus
s__N1521 sp003551725	s__Natronocalculus amylovorans
s__N1521 sp005239175	s__Halalkalirubrum sp005239175
s__N1521 sp005543295	s__Halalkalirubrum salinum
g__Halobiforma_A	g__Halobiforma
s__Halobiforma_A nitratireducens	s__Halobiforma nitratireducens
s__Haloterrigena sp013342135	s__Haloterrigena gelatinilytica
s__Natrinema sp013402815	s__Natrinema halophilum
g__Natronobacterium_A	g__Natronobacterium
s__Natronobacterium_A texcoconense	s__Natronobacterium texcoconense
s__Natronococcus sp008122205	s__Natronococcus pandeyae
s__Natronorubrum sp003670115	s__Natronorubrum halophilum
s__Natronorubrum sp009834785	s__Natronorubrum halalkaliphilum
s__Saliphagus sp003344565	s__Saliphagus infecundisoli
s__Tc-Br11 sp001564285	s__Tc-Br11 sp003552325
g__XQ-INN-246	g__Salinadaptatus
s__XQ-INN-246 sp006543045	s__Salinadaptatus halalkaliphilus
s__Halostella sp003675875	s__Halostella limicola
s__SKNY01 sp007118975	s__SKQO01 sp007118975
s__Methanocalculus sp007130455	s__Methanocalculus alkaliphilus
s__Methanofollis sp004297185	s__Methanofollis fontis
g__Methanolinea	g__Methanolinea_A
s__Methanolinea sp002067095	s__Methanolinea_A sp002067095
s__Methanolinea sp002067155	s__Methanolinea_A sp002067155
s__Methanolinea sp002067485	s__Methanolinea_A sp018262855
s__Methanolinea sp002067685	s__Methanolinea_A sp018262855
s__Methanolinea sp002506105	s__Methanolinea_A sp002506105
s__Methanolinea sp002509495	s__Methanolinea_A sp002509495
s__Methanolinea sp11423u	s__Methanolinea_A sp11423u
f__Methanohalarchaeaceae	f__Methanonatronarchaeaceae
f__PZKD01	f__Methanonatronarchaeaceae
f__ANME-2c	f__Methanogasteraceae
g__UBA203	g__Methanogaster
s__UBA203 sp002503595	s__Methanogaster sp002503595
s__UBA203 sp002506015	s__Methanogaster sp002506015
s__UBA203 sp003194445	s__Methanogaster sp003194445
s__UBA203 sp003601535	s__Methanogaster sp003601535
s__UBA203 sp003661105	s__Methanogaster sp003661105
s__UBA203 sp004211975	s__Methanogaster sp004211975
s__UBA203 sp012961645	s__Methanogaster sp012961645
s__UBA203 sp013572355	s__Methanogaster sp013572355
s__EX4572-44 sp002255135	s__EX4572-44 sp002254825
f__HR1	f__Methanocomedenaceae
g__HR1	g__Methanomarinus
s__HR1 sp002926195	s__Methanomarinus sp002926195
g__UBA7939	g__Methanocomedens
s__UBA7939 sp009649835	s__Methanocomedens sp009649835
s__UBA7939 sp013374465	s__Methanocomedens sp009649835
s__UBA7939 sp014237145	s__Methanocomedens sp014237145
s__UBA7939 sp7939u	s__Methanocomedens sp7939u
s__Methanohalophilus sp004137855	s__Methanohalophilus profundi
s__Methanolobus sp004745425	s__Methanolobus halotolerans
s__QEXZ01 sp003661125	s__QMVO01 sp003661125
s__UBA493 sp002499505	s__UBA493 sp002687735
s__UBA493 sp002762975	s__PCWY01 sp002762975
s__Methanobrevibacter_A sp902763935	s__Methanobrevibacter_A sp900319535
s__Methanobrevibacter_A sp902768765	s__Methanobrevibacter_A sp900319535
s__Methanosphaera sp002509095	s__Methanosphaera sp900322125
s__Methanosphaera sp10242u	s__Methanosphaera sp11921u
s__Methanothermobacter_A sp012840175	s__Methanothermobacter_A tenebrarum
s__Palaeococcus sp003660495	s__Palaeococcus sp003663695
s__Thermococcus sp006274605	s__Thermococcus indicus
s__Thermococcus sp900198835	s__Thermococcus henrietii
s__Thermococcus sp904067545	s__Thermococcus camini
s__Thermococcus_A litoralis	s__Thermococcus_A alcaliphilus
s__Thermococcus_A sp000430485	s__Thermococcus_A bergensis
o__B9-G16	o__Burarchaeales
f__B9-G16	f__Burarchaeaceae
g__CABMJK01	g__Burarchaeum
s__CABMJK01 sp902386535	s__Burarchaeum australiense
o__CABMDC01	o__Gugararchaeales
f__CABMDC01	f__Gugararchaeaceae
g__CABMDC01	g__Gugararchaeum
s__CABMDC01 sp902384795	s__Gugararchaeum adminiculabundum
f__DTGH01	f__DTNL01
g__Sv326	g__Fermentimicrarchaeum
s__Sv326 sp013425335	s__Fermentimicrarchaeum sp013425335
s__Sv326 sp013425405	s__Fermentimicrarchaeum sp013425405
s__Sv326 sp013426015	s__Fermentimicrarchaeum limneticum
s__Micrarchaeum acidiphilum_A	s__Micrarchaeum_A acidiphilum_A
g__UBA581	g__Micrarchaeum
s__UBA581 sp002501775	s__Micrarchaeum acidiphilum
o__UBA10214	o__Anstonellales
f__UBA10161	f__Anstonellaceae
g__CABMCJ01	g__Anstonella
s__CABMCJ01 sp902384585	s__Anstonella stagnisolia
f__UBA10214	f__Bilamarchaeaceae
g__CAILMU01	g__Bilamarchaeum
s__CAILMU01 sp013425375	s__Bilamarchaeum sp013425375
s__CAILMU01 sp902386555	s__Bilamarchaeum dharawalense
s__CAILMU01 sp903835325	s__Bilamarchaeum sp903835325
o__UBA8480	o__Norongarragalinales
f__UBA93	f__Norongarragalinaceae
g__0-14-0-20-59-11	g__Norongarragalina
s__0-14-0-20-59-11 sp002763345	s__Norongarragalina sp002763345
s__0-14-0-20-59-11 sp902384935	s__Norongarragalina meridionalis
o__CG07-land	o__Tiddalikarchaeales
f__CG07-land	f__Tiddalikarchaeaceae
g__CABMEV01	g__Tiddalikarchaeum
s__CABMEV01 sp902385255	s__Tiddalikarchaeum anstoanum
f__ARS1160	f__GW2011-AR1
g__ARS1160	g__JAGVXH01
s__ARS1160 sp002688415	s__JAGVXH01 sp002688415
g__J156	g__JAGVXH01
s__J156 sp003693875	s__JAGVXH01 sp003693875
f__ARS1285	f__GW2011-AR1
f__EX4484-31	f__UBA284
f__MFWN01	f__GW2011-AR1
f__PFCU01	f__GW2011-AR1
s__PFCU01 sp001872185	s__MNVX01 sp001872185
f__PFDC01	f__GW2011-AR1
f__PWGL01	f__GW2011-AR1
f__UBA73	f__GW2011-AR1
o__UBA583	o__Woesearchaeales
g__CSBR16-154	g__UBA583
s__CSBR16-154 sp007117405	s__UBA583 sp007117405
g__UBA431	g__UBA583
s__UBA431 sp002505525	s__UBA583 sp002505525
g__CSBR16-182	g__SKIS01
s__CSBR16-182 sp007117145	s__SKIS01 sp007117145
s__B29-G15 sp903915225	s__CAIWSB01 sp903915225
s__UBA11998 sp002762785	s__PCXY01 sp002762785
s__UBA11998 sp11998u	s__UBA11998 sp002686315
f__JAAXVZ01	f__GW2011-AR15
g__SG9	g__Nanohalobium
s__SG9 sp001761425	s__Nanohalobium sp001761425
s__SG9 sp009617975	s__Nanohalobium constans
p__PWEA01	p__Aenigmatarchaeota
c__PWEA01	c__Aenigmatarchaeia
p__QMZS01	p__Aenigmatarchaeota
c__QMZS01	c__Aenigmatarchaeia
s__UBA9212 sp9293u	s__UBA9212 sp9212u
c__JABDBI01	c__UBA727
o__JABDBI01	o__UBA727
g__JABDRC01	g__Aquisalimonas
s__JABDRC01 sp012044895	s__Aquisalimonas sp012044895
s__JABDRC01 sp013041945	s__UBA9214 sp013041945
c__Poseidoniia_A	c__Poseidoniia
s__MGIIa-K1 sp12207u	s__MGIIa-K1 sp902563095
s__MGIIa-L1 sp002721085	s__MGIIa-L1 sp9354u
s__MGIIa-L4 sp002495405	s__MGIIa-L4 sp002718195
s__MGIIb-O2 sp002730775	s__MGIIb-O2 sp002498985
s__MGIIb-O5 sp002719635	s__MGIIb-O5 sp002497985
s__Thalassarchaeum betae	s__Thalassarchaeum betae_A
c__Poseidoniia_B	c__Poseidoniia
s__Methanomassiliicoccus sp002067635	s__UBA6 sp002067635
s__Methanomassiliicoccus sp002508545	s__UBA6 sp002508545
s__Methanomassiliicoccus sp012719175	s__UBA6 sp012719175
g__ISO4-G1	g__UBA71
s__ISO4-G1 sp001563305	s__UBA71 sp001563305
s__ISO4-G1 sp002506175	s__UBA71 sp002506175
g__MX-02	g__Methanarcanum
s__MX-02 sp006954405	s__Methanarcanum hacksteinii
g__UBA328	g__Methanogranum
s__UBA328 sp002506905	s__Methanogranum sp002506905
s__UBA328 sp012719315	s__Methanogranum sp012719315
g__B1SED10-34	g__Saliniplasma
s__B1SED10-34 sp003551065	s__Saliniplasma sp003551065
g__PWHR01	g__Natronoplasma
s__PWHR01 sp003551675	s__Natronoplasma halalkaliphilum
s__PWHR01 sp003554965	s__Natronoplasma sp003554965
s__PWHR01 sp003555395	s__Natronoplasma sp003555395
g__SKVC01	g__Haladaptoplasma
s__SKVC01 sp007129655	s__Haladaptoplasma sp007129655
s__RBG-16-68-12 sp005878395	s__RBG-16-68-12 sp005878485
s__PIYA01 sp003662325	s__PIYA01 sp003601785
s__RBG-16-57-9 sp001776015	s__RBG-16-57-9 sp001775965
s__Methanomethylicus mesodigestum	s__Methanomethylicus mesodigestus
s__Methanomethylicus oleusabulum	s__Methanomethylicus oleisabuli
g__Methanosuratus	g__Methanosuratincola
s__Methanosuratus petracarbonis_A	s__Methanosuratincola petrocarbonis
s__Methanosuratus sp014361455	s__Methanosuratincola sp014361455
s__Methanosuratus subterraneum_A	s__Methanosuratincola subterraneus
f__NZ13-MGT	f__Wolframiiraptoraceae
g__EX4484-121	g__Wolframiiraptor
s__EX4484-121 sp002255105	s__Wolframiiraptor sp002255105
s__EX4484-121 sp003660635	s__Wolframiiraptor sp003660635
g__JGI-0000106-J15	g__Geocrenenecus
s__JGI-0000106-J15 sp000405685	s__Geocrenenecus sp000405685
g__NZ13-MG1	g__Terraquivivens
s__NZ13-MG1 sp003056285	s__Terraquivivens tikiterensis
s__Conexivisphaera calidus	s__Conexivisphaera calida
s__Conexivisphaera sp011054345	s__Conexivisphaera sp009903775
s__B109-G9 sp003661525	s__B109-G9 sp003661505
g__JABDCJ01	g__CADDZS01
s__JABDCJ01 sp013288145	s__CADDZS01 sp013288145
g__JACAFH01	g__Nitrosothermus
s__JACAFH01 sp013538715	s__Nitrosothermus koennekii
s__Nitrosocaldus sp013538675	s__Nitrosocaldus tengchongensis
s__Nitrosocaldus sp013538805	s__Nitrosocaldus schleperae
s__Nitrosopelagicus sp002709285	s__Nitrosopelagicus sp902578515
s__Nitrosopumilus sp000746685	s__Nitrosopumilus sp000746765
s__Nitrosopumilus sp000746785	s__Nitrosopumilus sp000746765
s__Nitrosopumilus sp002737455	s__Nitrosopumilus limneticus
s__Nitrosopumilus sp003175215	s__Nitrosopumilus zosterae
s__Nitrosocosmicus exaquare	s__Nitrosocosmicus hydrocola
g__UBA10452	g__Nitrosopolaris
s__UBA10452 sp002501855	s__Nitrosopolaris nunavutensis
s__UBA10452 sp003176995	s__Nitrosopolaris wilkensis
s__UBA10452 sp009665115	s__Nitrosopolaris sp009665115
s__UBA10452 sp009898475	s__Nitrosopolaris sp009898475
s__UBA183 sp005877185	s__TA-13 sp005877185
s__UBA183 sp005877225	s__TA-13 sp005877225
s__UBA183 sp005877365	s__TA-13 sp005877365
c__Thermoproteia	c__Thermoprotei_A
s__Thermogladius calderae_A	s__Thermogladius sp009904025
s__ARK-14 fontis_A	s__ARK-14 sp022759165
g__Ignicoccus_A	g__Ignicoccus
s__Ignicoccus_A hospitalis	s__Ignicoccus hospitalis
s__Ignicoccus_A sp013154085	s__Ignicoccus sp013154085
s__EX4484-204 sp003661745	s__B83-G16 sp003661745
g__Thermofilum_A	g__Infirmifilum
s__Thermofilum_A sp002855745	s__Infirmifilum sp002855745
s__Thermofilum_A uzonense	s__Infirmifilum uzonense
s__Thermofilum_B pendens_A	s__Thermofilum_B pendens
s__Thermoproteus sp009903945	s__Thermoproteus sp002077075
p__Abyssubacteria	p__Abyssobacteria
c__Acidobacteriae	c__Terriglobia
o__Acidobacteriales	o__Terriglobales
g__Acidobacterium_A	g__Pseudacidobacterium
s__Acidobacterium_A ailaaui	s__Pseudacidobacterium ailaaui
s__Acidobacterium_A sp009765985	s__Alloacidobacterium sp009765985
s__Acidobacterium_A sp013285705	s__Alloacidobacterium sp013285705
s__Acidobacterium_A sp014274465	s__Alloacidobacterium dinghuense
s__Granulicella_C aggregans	s__Granulicella_D aggregans
s__Granulicella_C sp903642265	s__Granulicella_D sp903642265
s__Palsa-343 sp003428625	s__Paracidobacterium acidisoli
s__UBA5172 sp014083945	s__JAJZFE01 sp014083945
s__UBA5172 sp903970395	s__JAJZFE01 sp903970395
g__Gp1-AA17	g__Angelobacter
s__Gp1-AA17 sp003140235	s__Angelobacter sp003140235
s__Gp1-AA17 sp003223515	s__Angelobacter sp003223515
s__40CM-3-55-5 sp003224935	s__40CM-3-55-5 sp001918935
g__FEN-335	g__QIAJ01
s__FEN-335 sp003154055	s__QIAJ01 sp003154055
s__Koribacter versatilis	s__Koribacter versatilis_A
g__UBA690	g__Paludibaculum
s__UBA690 sp002298225	s__Paludibaculum sp002298225
s__UBA690 sp013388415	s__JACADU01 sp013388415
o__UBA7541	o__Acidoferrales
g__UBA7541	g__Acidoferrum
s__UBA7541 sp001914785	s__Acidoferrum sp001914785
s__UBA7541 sp001917435	s__Acidoferrum sp001917435
s__UBA7541 sp001919715	s__Acidoferrum sp001919715
s__UBA7541 sp002478115	s__Acidoferrum typicum
s__UBA7541 sp003154775	s__Acidoferrum sp003154775
s__UBA7541 sp003161195	s__Acidoferrum sp003161195
s__UBA7541 sp003223215	s__Acidoferrum sp003223215
s__UBA7541 sp003223245	s__Acidoferrum sp003223245
s__UBA7541 sp003223255	s__Acidoferrum sp003223255
s__UBA7541 sp003223295	s__Acidoferrum sp003223295
s__UBA7541 sp003224055	s__Acidoferrum sp003224055
s__UBA7541 sp003224075	s__Acidoferrum sp003224075
s__UBA7541 sp003224085	s__Acidoferrum sp003224085
s__UBA7541 sp003224105	s__Acidoferrum sp003224105
s__UBA7541 sp003224135	s__Acidoferrum sp003224135
s__UBA7541 sp003224145	s__Acidoferrum sp003224145
s__UBA7541 sp003224525	s__Acidoferrum sp003224525
s__UBA7541 sp003225295	s__Acidoferrum sp001919715
s__UBA7541 sp003225315	s__Acidoferrum sp003225315
s__UBA7541 sp013289585	s__Acidoferrum sp013289585
s__UBA7541 sp013289665	s__Acidoferrum sp013289665
s__UBA7541 sp013289825	s__Acidoferrum sp013289825
s__UBA7541 sp013289835	s__Acidoferrum sp013289835
s__UBA7541 sp013289855	s__Acidoferrum sp013289855
s__UBA7541 sp013289955	s__Acidoferrum sp013289955
s__UBA7541 sp903970165	s__Acidoferrum sp903970165
f__Aminicenantaceae_A	f__JdFR-80
g__B3-B38	g__Guanabacterium
s__B3-B38 sp005223145	s__Guanabacterium sp005223145
s__B3-B38 sp902505605	s__Guanabacterium sedimentis
s__Chloracidobacterium thermophilum_A	s__Chloracidobacterium aggregatum
g__JACDCK01	g__PSRF01
s__JACDCK01 sp013811945	s__PSRF01 sp013811945
s__JACDCK01 sp013812905	s__PSRF01 sp013812905
s__JACDCK01 sp013817595	s__PSRF01 sp013817595
g__QQUY01	g__Aridibacter
s__QQUY01 sp003385635	s__Aridibacter sp003385635
s__QQUY01 sp013003215	s__Aridibacter sp013003215
s__QQUY01 sp013003295	s__Aridibacter sp013003295
g__UBA11741	g__PSRF01
s__UBA11741 sp002427845	s__PSRF01 sp002427845
s__UBA11741 sp003488005	s__PSRF01 sp003488005
s__UBA11741 sp013697915	s__PSRF01 sp013697915
s__UBA11741 sp014380365	s__PSRF01 sp014380365
o__GCA-2747255	o__Acanthopleuribacterales
f__GCA-2747255	f__Acanthopleuribacteraceae
s__Geothrix sp903886655	s__Geothrix sp903880675
o__UM-FILTER-49-7	o__Thermotomaculales
f__UM-FILTER-49-7	f__Thermotomaculaceae
c__Mor1	c__Polarisedimenticolia
o__Mor1	o__Polarisedimenticolales
f__Mor1	f__Polarisedimenticolaceae
f__FEB-10	f__Sulfomarinibacteraceae
g__JAAZNT01	g__UBA4820
s__JAAZNT01 sp012798145	s__UBA4820 sp012798145
s__12-FULL-67-14b sp013813075	s__JACCSI01 sp013813075
g__2-12-FULL-68-19	g__Gp6-AA40
s__2-12-FULL-68-19 sp001767195	s__Gp6-AA40 sp001767195
s__2-12-FULL-68-19 sp001767525	s__Gp6-AA40 sp001767525
g__40CM-4-65-8	g__Gp6-AA45
s__40CM-4-65-8 sp001917905	s__Gp6-AA45 sp001917905
g__Gp6-AA56	g__Gp6-AA45
s__Gp6-AA56 sp003222395	s__Gp6-AA45 sp003222395
s__UBA8438 sp002346545	s__UBA2994 sp002346545
s__UBA8438 sp002347025	s__UBA2990 sp002347025
s__UBA8438 sp002726085	s__NP936 sp002726085
s__UBA8438 sp003533545	s__UBA9620 sp003533545
p__Actinobacteriota	p__Actinomycetota
g__JAAYBP01	g__Iamia
s__JAAYBP01 sp012730075	s__Iamia sp012730075
s__MedAcidi-G1 sp002730515	s__MedAcidi-G1 sp002699555
s__Microthrix sp002473265	s__Microthrix subdominans
g__SCSIO-58843	g__Actinomarinicola
s__SCSIO-58843 sp009650215	s__Actinomarinicola tropica
s__UBA9040 sp003452475	s__UBA9040 sp002731665
g__MedAcidi-G2A	g__UBA8592
s__MedAcidi-G2A sp000817095	s__UBA8592 sp002171605
s__MedAcidi-G2A sp002171605	s__UBA8592 sp002171605
s__MedAcidi-G2A sp002295705	s__UBA8592 sp002295705
s__MedAcidi-G2A sp002341185	s__UBA8592 sp002341185
s__MedAcidi-G2A sp002380145	s__UBA8592 sp002380145
s__MedAcidi-G2A sp002500385	s__UBA8592 sp002713605
s__MedAcidi-G2A sp002709645	s__UBA8592 sp002709645
s__MedAcidi-G2A sp002712325	s__UBA8592 sp002712325
s__MedAcidi-G2A sp002712415	s__UBA8592 sp002712415
s__MedAcidi-G2A sp002713485	s__UBA8592 sp002713485
s__MedAcidi-G2A sp002713605	s__UBA8592 sp002713605
s__MedAcidi-G2A sp002719235	s__UBA8592 sp002380145
s__Actinomarina sp902593435	s__Actinomarina sp902587025
f__Bin76	f__ZC4RG35
s__Actinomyces bowdenii_A	s__Actinomyces bowdenii
s__Actinomyces sp003606385	s__Actinomyces lilanjuaniae
s__Actinomyces sp004010955	s__Actinomyces wuliandei
s__Actinomyces sp004798665	s__Actinomyces procaprae
s__Actinomyces sp011751985	s__Actinomyces respiraculi
s__Actinomyces sp013177295	s__Actinomyces marmotae
s__Actinomyces sp013185035	s__Actinomyces faecalis
g__Actinomyces_I	g__Scrofimicrobium
s__Actinomyces_I minihominis	s__Scrofimicrobium minihominis
s__Actinomyces_I sp009696615	s__Scrofimicrobium canadense
s__Actinomyces_I sp014069575	s__Scrofimicrobium sp014069575
s__Ancrocorticia sp014041995	s__Changpingibacter yushuensis
s__Arcanobacterium_A sp004331995	s__Arcanobacterium_A bovis
s__Bowdeniella nasicola_A	s__Bowdeniella massiliensis
s__Flaviflexus sp003971195	s__Flaviflexus ciconiae
s__Flaviflexus sp014069875	s__Flaviflexus equikiangi
s__Georgenia sp006352065	s__Georgenia yuyongxinii
s__Mobiluncus holmesii_A	s__Mobiluncus porci
s__Oceanitalea sp006349365	s__Oceanitalea wutianyii
s__Pauljensenia culturomici	s__Pauljensenia culturomici_A
g__UMGS822	g__Nanchangia
s__UMGS822 sp900545825	s__Nanchangia sp900545825
s__Varibaculum timonense	s__Varibaculum timonense_A
g__Haloactinobacterium	g__Ruania
s__Haloactinobacterium album	s__Ruania alba
s__Haloactinobacterium sp009805705	s__Ruania rhizosphaerae
s__Ruania sp008000995	s__Ruania zhangjianzhongii
g__T3246-1	g__Occultella
s__T3246-1 sp004353825	s__Occultella glacieicola
s__T3246-1 sp009708215	s__Occultella kanbiaonis
s__T3246-1 sp902703175	s__Occultella aeris
s__Bifidobacterium asteroides_B	s__Bifidobacterium apousia
s__Bifidobacterium asteroides_E	s__Bifidobacterium polysaccharolyticum
s__Bifidobacterium gallinarum	s__Bifidobacterium pullorum_B
s__Bifidobacterium sp000499185	s__Bifidobacterium mizhiense
s__Bifidobacterium sp002884815	s__Bifidobacterium piotii
s__Bifidobacterium sp009193305	s__Bifidobacterium cebidarum
s__Bifidobacterium sp009193355	s__Bifidobacterium leontopitheci
s__Bifidobacterium sp010667615	s__Bifidobacterium choloepi
s__Bifidobacterium sp010667645	s__Bifidobacterium platyrrhinorum
s__Bifidobacterium sp900551485	s__Bifidobacterium canis
s__Bifidobacterium vaginale_G	s__Bifidobacterium leopoldii
s__Galliscardovia sp010667695	s__Galliscardovia saimiriisciurei
s__Brevibacterium luteolum_A	s__Brevibacterium gallinarum
s__Brevibacterium sp009857845	s__Brevibacterium rongguiense
s__Brevibacterium sp011617245	s__Brevibacterium atlanticum
s__Brevibacterium sp011617465	s__Brevibacterium pigmentatum
s__Brevibacterium sp011617705	s__Brevibacterium limosum
s__Actinotalea sp008364845	s__Actinotalea subterranea
s__Cellulomonas aerilata	s__Pengzhenrongella aerilata
s__Cellulomonas cellasea	s__Cellulomonas_A cellasea
s__Cellulomonas fimi_A	s__Pengzhenrongella fimi_A
s__Cellulomonas sp002441315	s__JAJDFX01 sp002441315
s__Cellulomonas sp003115775	s__Cellulomonas_A sp003115775
s__Cellulomonas sp003851725	s__Cellulomonas algicola
s__Cellulomonas sp004168625	s__Pengzhenrongella sp004168625
s__Cellulomonas sp009829685	s__Cellulomonas citrea
s__Cellulomonas sp012927595	s__Cellulomonas_A sp012927595
s__Cellulomonas sp012931845	s__Cellulomonas taurus
s__Cellulomonas timonensis	s__Cellulomonas_A timonensis
s__Cellulosimicrobium cellulans_B	s__Cellulosimicrobium composti
s__Flavimobilis massiliensis	s__Flavimobilis rhizosphaerae
s__Isoptericola flava	s__Isoptericola flavus
s__Isoptericola sp009663185	s__Isoptericola halalbus
s__Isoptericola sp013085345	s__Isoptericola sediminis
s__Oerskovia sp005937995	s__Oerskovia rustica
s__Promicromonospora sp900608595	s__Promicromonospora panici
s__Xylanimonas sp004135385	s__Xylanimonas protaetiae
s__Xylanimonas sp009846865	s__Xylanimonas puerhi
s__Brachybacterium sp003711805	s__Brachybacterium intestinipullorum
s__Brachybacterium sp005490785	s__Brachybacterium rhamnosum
s__Brachybacterium sp009299795	s__Brachybacterium subflavum
s__Brachybacterium sp900163615	s__Brachybacterium tyrofermentans
s__Arsenicicoccus sp009707125	s__Arsenicicoccus cauae
s__Flexivirga sp013002715	s__Flexivirga aerilata
g__GCA-2748155	g__Phosphoribacter
s__GCA-2748155 sp002748155	s__Phosphoribacter sp002748155
s__Janibacter asiaticum	s__Marihabitans asiaticum
s__Janibacter melonis	s__Marihabitans melonis
s__Mobilicoccus sp012277275	s__Mobilicoccus aptenodytis
s__Ornithinicoccus sp007197575	s__Ornithinicoccus ciconiae
s__Ornithinimicrobium sp003351765	s__Ornithinimicrobium avium
s__Phycicoccus sp004025965	s__Phycicoccus flavus
s__Serinicoccus sp008843165	s__Serinicoccus pratensis
s__Serinicoccus sp008919445	s__Serinicoccus kebangsaanensis
s__Yimella sp013135345	s__Metallococcus carri
s__Kineococcus sp009906315	s__Kineococcus vitellinus
s__Kineococcus sp009906795	s__Kineococcus siccus
s__Agrococcus lahaulensis_A	s__Agrococcus sediminis
s__Agromyces sp003070885	s__Agromyces badenianii
s__Agromyces sp003710805	s__Agromyces tardus
s__Agromyces sp006337065	s__Agromyces laixinhei
s__Agromyces sp008122505	s__Agromyces mariniharenae
s__Agromyces sp008365295	s__Agromyces intestinalis
s__Agromyces sp009647605	s__Agromyces agglutinans
s__Agromyces sp009674665	s__Agromyces kandeliae
s__Agromyces sp009720255	s__Agromyces humi
s__Aquiluna sp013283855	s__Aquiluna borgnonia
s__Aurantimicrobium sp003194085	s__Aurantimicrobium photophilum
